Neighbourhood,ObjectId
Playter Estates-Danforth (67),8600
Playter Estates-Danforth (67),8601
Woburn (137),8602
Woburn (137),8603
Woburn (137),8604
Kensington-Chinatown (78),8605
Kensington-Chinatown (78),8606
Mount Olive-Silverstone-Jamestown (2),8607
Bay Street Corridor (76),8608
The Beaches (63),8609
Rosedale-Moore Park (98),8610
Kensington-Chinatown (78),8611
Willowdale West (37),8612
Willowdale West (37),8613
Annex (95),8614
Annex (95),8615
Annex (95),8616
Annex (95),8617
Parkwoods-Donalda (45),8618
Moss Park (73),8619
High Park North (88),8620
East End-Danforth (62),8621
Taylor-Massey (61),8622
Mimico (includes Humber Bay Shores) (17),8623
Briar Hill-Belgravia (108),8624
Briar Hill-Belgravia (108),8625
Corso Italia-Davenport (92),8626
Eglinton East (138),8627
Mount Dennis (115),8628
Church-Yonge Corridor (75),8629
Dorset Park (126),8630
Dorset Park (126),8631
Dorset Park (126),8632
Briar Hill-Belgravia (108),8633
Scarborough Village (139),8634
Clanton Park (33),8635
Clairlea-Birchmount (120),8636
Eringate-Centennial-West Deane (11),8637
Eringate-Centennial-West Deane (11),8638
Mount Olive-Silverstone-Jamestown (2),8639
Kingsview Village-The Westway (6),8640
New Toronto (18),8641
Wexford/Maryvale (119),8642
Bay Street Corridor (76),8643
Niagara (82),8644
Church-Yonge Corridor (75),8645
Waterfront Communities-The Island (77),8646
Waterfront Communities-The Island (77),8647
Waterfront Communities-The Island (77),8648
Church-Yonge Corridor (75),8649
Clairlea-Birchmount (120),8650
Clairlea-Birchmount (120),8651
Oakwood Village (107),8652
Clairlea-Birchmount (120),8653
Clairlea-Birchmount (120),8654
Waterfront Communities-The Island (77),8655
Englemount-Lawrence (32),8656
Danforth East York (59),8657
Willowdale West (37),8658
Moss Park (73),8659
Stonegate-Queensway (16),8660
Kennedy Park (124),8661
Yorkdale-Glen Park (31),8662
Yorkdale-Glen Park (31),8663
Woburn (137),8664
Bay Street Corridor (76),8665
Lansing-Westgate (38),8666
Willowdale West (37),8667
Malvern (132),8668
Church-Yonge Corridor (75),8669
Willowridge-Martingrove-Richview (7),8670
High Park-Swansea (87),8671
High Park-Swansea (87),8672
Agincourt South-Malvern West (128),8673
Church-Yonge Corridor (75),8674
Agincourt South-Malvern West (128),8675
Clanton Park (33),8676
Steeles (116),8681
Islington-City Centre West (14),8685
Annex (95),8686
Islington-City Centre West (14),8688
Annex (95),8690
Woburn (137),8694
Dovercourt-Wallace Emerson-Junction (93),8703
Hillcrest Village (48),8704
West Humber-Clairville (1),8705
Englemount-Lawrence (32),8706
Agincourt North (129),8707
Church-Yonge Corridor (75),8708
Weston-Pellam Park (91),8709
Woburn (137),8710
Bendale (127),8711
South Riverdale (70),8712
Keelesdale-Eglinton West (110),8713
Kennedy Park (124),8714
Church-Yonge Corridor (75),8715
Waterfront Communities-The Island (77),8716
Waterfront Communities-The Island (77),8717
Waterfront Communities-The Island (77),8718
Waterfront Communities-The Island (77),8719
Rockcliffe-Smythe (111),8720
Wexford/Maryvale (119),8721
Mimico (includes Humber Bay Shores) (17),8722
Mimico (includes Humber Bay Shores) (17),8723
Mimico (includes Humber Bay Shores) (17),8724
Willowdale West (37),8725
Humbermede (22),8726
Humbermede (22),8727
York University Heights (27),8728
York University Heights (27),8729
Moss Park (73),8730
Mount Olive-Silverstone-Jamestown (2),8731
Bay Street Corridor (76),8732
York University Heights (27),8733
York University Heights (27),8734
Rouge (131),8736
Bendale (127),8737
Bendale (127),8738
Morningside (135),8739
Birchcliffe-Cliffside (122),8740
Birchcliffe-Cliffside (122),8741
Taylor-Massey (61),8742
Woburn (137),8743
Henry Farm (53),8753
Annex (95),8754
Moss Park (73),8755
Annex (95),8756
Bay Street Corridor (76),8757
Kennedy Park (124),8758
Wychwood (94),8759
Trinity-Bellwoods (81),8760
Downsview-Roding-CFB (26),8761
Downsview-Roding-CFB (26),8762
Newtonbrook West (36),8763
Lansing-Westgate (38),8765
Mount Olive-Silverstone-Jamestown (2),8766
West Hill (136),8768
Newtonbrook West (36),8778
Danforth (66),8781
York University Heights (27),8787
University (79),8788
Wexford/Maryvale (119),8789
York University Heights (27),8790
Annex (95),8793
Newtonbrook East (50),8794
Humber Heights-Westmount (8),8801
Humber Heights-Westmount (8),8802
York University Heights (27),8803
York University Heights (27),8804
North St.James Town (74),8805
Woburn (137),8806
Thistletown-Beaumond Heights (3),8807
Clairlea-Birchmount (120),8808
Humber Summit (21),8809
Banbury-Don Mills (42),8812
Yonge-St.Clair (97),8813
Yonge-St.Clair (97),8814
Yonge-St.Clair (97),8815
Yonge-St.Clair (97),8816
Waterfront Communities-The Island (77),8821
Woburn (137),8822
Etobicoke West Mall (13),8823
Willowdale West (37),8824
Woburn (137),8825
Malvern (132),8826
Eglinton East (138),8837
